,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
30036,65,17,1.98,11.0,12.3,15.316666666666666,10.502736336491509
6397,197,69,14.8,52.0,61.67,53.56666666666667,40.10644538871095
40730,212,212,0.91,14.61,17.66,5.0,12.951466432119492
54062,69,47,1.27,14.55,17.6,10.0,13.485196507463042
11382,42,262,3.35,12.0,18.66,8.516666666666667,13.349898238573871
46700,7,192,6.86,30.8,33.85,16.0,24.63729418659875
52928,167,129,9.64,29.41,38.58,26.0,25.12729462241002
14375,74,74,0.57,4.0,4.8,2.533333333333333,5.6739827593172105
65737,247,126,7.31,19.24,22.29,24.0,15.80461815880321
57318,228,97,4.79,35.59,38.64,28.0,26.716116483381036
23355,74,243,3.81,16.0,16.8,18.9,13.73122859001697
933,42,166,1.71,9.0,11.76,9.916666666666666,9.899947981342201
22793,65,61,1.8,12.5,17.15,18.0,12.729065277359892
58015,227,22,1.73,16.73,19.78,11.0,14.172133989884543
60077,72,89,2.78,21.37,24.42,21.0,18.017783596200754
20579,95,28,2.67,10.5,11.3,9.983333333333333,9.856818651601689
45813,51,235,6.42,23.43,26.48,33.0,19.570077255169906
59821,35,21,64111.73,31.9,34.95,24.0,24.89593221132708
47696,22,72,6.61,31.9,34.95,36.0,25.22383208129387
54242,37,89,7.41,33.24,36.29,39.0,26.05186430658194
42010,82,205,9.39,36.62,39.67,27.0,28.150750395996674
2063,65,61,2.43,11.0,14.16,12.516666666666667,11.198469524774293
46503,129,260,0.89,7.0,8.07,6.0,7.61315014312466
47316,242,248,5.77,22.79,25.84,17.0,18.255051446475285
63680,177,61,2.88,18.95,22.0,20.0,15.902595286101016
24940,244,166,2.93,11.5,14.76,11.216666666666667,10.786984533418764
40241,74,141,2.77,11.5,18.06,12.583333333333334,12.75912768578365
57970,155,39,3.66,23.79,26.84,22.0,19.20163028255024
53229,51,247,7.46,27.27,30.32,39.0,22.12309089491238
23884,75,41,1.02,6.0,7.8,5.816666666666666,7.33519548603158
4112,74,168,1.5,7.5,8.3,6.95,8.050898423942783
33061,242,182,0.0,12.2,13.0,18.516666666666666,10.384933737043056
44643,242,18,4.59,20.8,23.85,19.0,16.79743572438517
51014,254,58,4.76,29.02,32.07,12.0,22.214641883736782
33151,65,97,1.1,6.5,9.45,7.083333333333333,8.161199072806067
45648,82,95,1.79,19.06,22.11,7.0,16.442892557505612
64548,49,33,2.46,18.95,22.0,20.0,16.487925589929215
5621,74,75,1.27,7.5,10.79,8.183333333333334,8.890938491918316
52487,51,229,13.96,40.32,49.49,38.0,32.96612027324787
52189,181,188,2.84,22.45,25.5,16.0,18.28054152542625
21846,74,152,1.69,9.0,12.88,10.933333333333334,10.14399185217087
35080,65,189,1.4,8.5,11.75,9.066666666666666,9.650408367388524
58581,169,244,5.06,18.26,21.31,13.0,15.592821968533267
34412,166,41,1.11,6.5,7.3,7.966666666666667,6.878751410616257
27587,43,236,0.65,6.0,9.55,6.233333333333333,8.232697164765153
37614,166,166,2.22,11.0,16.73,15.283333333333333,11.711216663872943
15971,41,140,3.74,16.5,24.06,21.133333333333333,16.588439578577148
37707,41,244,3.36,16.5,21.96,23.533333333333335,15.895348563922404
41341,241,69,3.96,25.95,29.0,25.0,20.24710225812268
40277,42,247,1.22,6.0,6.8,6.566666666666666,7.254494567995611
32606,74,238,2.71,12.0,18.66,14.316666666666666,13.184926404172877
70743,52,67,6.35,23.82,26.87,18.0,19.722903397504794
39834,74,41,0.9,5.0,10.8,3.933333333333333,8.116232859262473
51716,47,78,1.18,17.59,20.64,9.0,15.622762200034678
1943,41,42,0.66,4.5,7.3,3.6666666666666665,6.861120489230991
72738,74,249,8.88,32.91,35.96,41.0,25.755232075910136
32125,97,225,2.46,11.0,15.36,14.166666666666666,11.578340415504659
50438,106,17,2.47,25.95,29.0,17.0,20.850934975768354
33527,43,238,1.7,8.0,15.05,8.15,10.81922301164417
19624,41,166,1.71,14.5,19.56,21.233333333333334,14.37858067024524
25158,97,188,3.19,15.0,18.96,20.316666666666666,14.064033700146242
55334,76,117,9.98,36.5,41.84,30.0,28.870499416252308
49503,235,182,4.28,18.75,21.8,24.0,15.569903477203118
738,41,47,3.63,14.5,18.36,16.3,13.875221895464403
68026,81,209,20.63,52.26,67.55,38.0,42.930917834235004
27279,41,41,0.92,8.0,8.3,8.183333333333334,8.281346424623731
70092,123,177,6.3,29.06,32.11,29.0,22.92899618485827
1669,166,244,3.2,11.5,13.3,9.4,10.67548947811063
34682,41,142,3.51,14.0,21.55,15.916666666666666,14.928622218166915
37407,75,236,0.57,4.5,9.66,4.133333333333334,7.6670210694547585
49648,119,116,2.29,18.25,21.3,12.0,15.744450416152498
476,167,248,2.52,11.0,11.8,19.083333333333332,9.98188304959389
74846,181,91,4.98,26.81,29.86,28.0,21.11274734390559
66108,35,91,2.81,22.45,25.5,12.0,18.909056596171013
63272,42,244,2.02,21.35,24.4,10.0,18.238869842556092
69205,188,76,3.06,23.83,26.88,20.0,19.09515528521041
52404,95,196,1.5,12.39,15.44,6.0,12.020469250055232
42371,215,10,1.63,18.95,22.0,10.0,15.693162551915323
28960,41,42,1.24,6.5,7.3,5.183333333333334,7.4674056992893005
9059,95,134,1.3,7.5,8.3,8.033333333333333,7.931660120475559
520,43,230,2.5,13.5,21.05,17.65,14.640651781750185
56694,177,39,4.09,23.31,26.36,28.0,18.779906147081405
50613,235,47,2.42,17.59,20.64,14.0,14.719683299227082
8771,42,238,2.88,12.0,18.66,15.366666666666667,13.335467451733706
42255,39,227,13.91,33.21,36.26,30.0,26.105529419697575
2960,116,114,8.75,27.0,27.8,23.466666666666665,20.748709387441878
45211,51,18,4.64,24.62,27.67,14.0,20.228522984072846
33181,66,66,9.7,39.5,51.65,49.38333333333333,33.32619373809148
48189,159,210,26.52,62.41,71.58,51.0,47.091556781116275
47475,18,169,1.35,17.59,20.64,8.0,15.813913261822696
76219,235,78,2.23,12.62,15.67,11.0,11.443369746279483
7848,42,75,1.89,10.5,11.3,12.266666666666667,10.134419851346843
35925,116,166,1.87,10.0,10.8,11.683333333333334,9.509531068263668
57508,20,20,0.52,13.88,16.93,3.0,13.255290350983776
64721,10,215,0.06,29.45,32.5,1.0,23.74202887092826
21027,74,41,0.86,6.0,9.49,6.5,7.948005415590898
45743,242,168,4.81,27.27,30.32,14.0,21.177048002180463
13525,75,236,0.91,5.5,13.07,4.483333333333333,9.197168078212165
11218,97,188,3.36,19.5,20.88,27.583333333333332,16.119044355803887
707,43,243,7.58,22.5,24.3,15.266666666666667,18.54617626981923
17179,82,173,1.2,7.0,7.8,7.85,7.6847863521756015
20101,78,136,2.89,13.0,13.8,17.866666666666667,11.659162098290473
56416,242,167,5.26,16.67,25.84,23.0,16.351104298847908
506,75,74,1.55,7.0,7.8,6.533333333333333,7.658181919020313
49481,130,63,6.1,33.06,36.11,26.0,25.479387732654146
49815,82,73,4.63,22.34,25.39,18.0,18.604190825314856
21930,74,69,2.93,13.0,14.3,15.25,11.817601577886366
38300,61,39,4.18,15.0,19.3,16.95,14.266128190100321
59377,20,169,0.73,11.95,15.0,4.0,12.065361162052096
43430,82,56,1.73,15.89,18.94,15.0,14.317828000213662
71488,42,195,13.77,57.47,60.52,30.0,42.15580282103546
3692,75,236,1.4,7.5,14.45,8.416666666666666,10.300012661124597
14617,243,244,0.0,14.2,15.0,11.966666666666667,11.743451444328967
40594,119,61,16.48,40.95,50.12,33.0,32.96285282423234
13511,43,162,2.43,10.5,18.06,11.2,12.614450964138703
5137,7,179,0.73,5.0,6.8,5.0,7.075115521617833
8406,74,74,0.48,4.0,5.3,2.8833333333333333,5.853895786917654
54247,257,236,13.13,37.49,46.66,30.0,30.12501833546345
50410,126,65,13.8,52.75,55.8,22.0,38.55324069173815
56945,78,42,5.71,28.43,31.48,24.0,22.641844163106263
47963,242,254,2.3,13.62,16.67,17.0,12.179246025552663
48571,41,166,0.85,19.64,22.69,5.0,17.06299579440823
26428,74,238,2.77,13.0,13.8,15.733333333333333,11.73931844945703
68435,167,147,0.85,17.36,17.66,5.0,13.957722913615598
28103,130,215,1.57,8.5,11.16,9.566666666666666,9.147958212831256
64088,62,33,3.13,20.93,23.98,21.0,17.739444317014268
48713,165,55,4.74,21.61,24.66,17.0,17.718931148398788
57941,41,116,1.95,17.69,20.74,12.0,15.740134321063165
64258,35,37,2.09,24.71,26.36,14.0,19.871140621250582
62347,69,220,4.98,28.12,31.17,15.0,22.585707459498373
38245,75,74,1.3,6.0,9.45,3.933333333333333,7.9487510640379995
72299,244,116,1.64,29.45,32.5,13.0,22.581652928865424
35604,51,174,4.26,17.0,17.3,22.116666666666667,14.28099164162679
10081,82,129,1.6,7.5,9.3,5.65,8.349635188419024
11665,74,236,2.11,9.0,14.55,10.283333333333333,10.795412522488053
67924,42,37,13.52,40.4,49.57,43.0,32.94603912323587
1160,97,97,1.44,7.5,8.3,8.083333333333334,7.900000618919635
33059,112,223,5.45,17.0,21.36,13.8,15.484374677131859
14004,65,17,1.74,10.5,11.3,14.25,9.991339991489756
37690,265,38,3.1,12.5,13.3,13.283333333333333,10.389016106730946
65644,263,75,1.31,16.58,19.63,6.0,13.935202603807392
51607,188,62,2.08,21.37,24.42,11.0,17.45583602484265
71557,59,49,16.08,40.95,50.12,42.0,33.2379036764443
20114,97,25,0.82,6.0,8.16,6.5,7.351614284749411
57192,35,77,1.15,23.31,26.36,6.0,19.47079713681562
11145,97,66,1.28,7.5,10.79,8.566666666666666,8.777324433068413
16730,132,132,0.73,4.5,7.54,3.783333333333333,6.573497382528519
32370,75,74,0.9,4.5,8.8,2.716666666666667,7.260150522586509
61835,72,74,19.16,72.95,76.0,53.0,52.20464734072679
38661,244,151,3.31,14.5,17.3,17.383333333333333,12.601350325968127
57530,41,74,1.64,15.45,18.5,14.0,14.229827850455989
2818,130,10,2.98,11.5,12.8,10.35,10.524219927732332
60605,75,77,17.21,61.63,70.8,31.0,46.889666886305626
74246,179,223,0.85,7.0,8.9,6.0,7.654333869669841
29289,244,140,6.49,25.0,29.55,30.433333333333334,20.18559333378458
65816,139,218,2.13,18.58,21.63,9.0,15.930480450975468
10557,41,74,1.03,6.0,7.34,6.183333333333334,7.349471008716726
39629,130,10,2.51,10.0,12.96,12.633333333333333,10.127078211852833
1419,41,42,1.08,6.5,8.76,7.383333333333334,7.992751361311797
48102,113,97,4.35,28.26,31.31,28.0,22.39756399446747
30368,25,155,0.0,42.78,43.58,34.11666666666667,31.66315189613819
927,129,138,3.84,12.5,14.3,7.716666666666667,11.448776377002641
61472,177,72,2.22,16.73,19.78,11.0,14.437421295540943
25317,74,152,1.62,9.5,11.3,12.783333333333333,9.72703982655615
7966,116,143,5.24,18.5,23.05,17.683333333333334,16.480269771593427
9595,130,132,5.19,17.0,24.44,13.55,16.453234855466008
37170,41,116,2.02,10.0,12.96,12.4,10.609517665695053
55033,33,89,6.65,29.45,32.5,25.0,23.558032057008795
33124,74,137,5.43,21.5,25.05,27.733333333333334,18.303328692700845
43950,220,128,1.49,19.46,22.51,7.0,16.078715032784114
45039,254,69,6.25,17.59,20.64,26.0,14.643514884040764
59802,89,165,1.48,19.82,22.87,4.0,16.955914040824425
11384,116,141,6.3,21.0,24.55,19.0,17.776660429192475
33109,75,263,1.5,9.0,15.65,11.75,11.202754855505702
28070,130,130,2.05,10.0,10.8,10.85,9.422019646705667
2240,74,69,3.23,19.5,23.05,28.0,16.936506530409588
19103,42,42,0.47,4.5,5.3,3.816666666666667,6.136765976956581
8443,74,75,1.25,5.5,6.8,2.816666666666667,6.848947904195047
30317,129,138,3.83,12.5,15.96,8.733333333333333,12.046086565102586
49869,89,67,4.34,27.11,30.16,27.0,21.730015214307123
7052,95,121,2.76,12.0,14.3,12.933333333333334,11.44693601257437
74458,129,173,1.69,15.89,18.94,13.0,14.167078588006838
11475,74,237,2.55,10.5,17.56,10.466666666666667,12.33380219744583
12585,75,75,0.6,5.0,5.8,5.25,6.332848641757314
66017,170,43,3.47,24.08,27.13,19.0,19.325731021293898
8611,95,237,8.87,10.0,13.05,29.15,10.460601594226045
21766,75,234,4.79,16.0,19.55,17.55,14.71062818856876
41670,244,138,9.41,23.92,35.5,17.0,21.997945788366593
56731,97,97,0.86,20.93,23.98,7.0,17.613284434763344
69321,224,31,12.95,39.65,48.82,40.0,31.589000525302012
73129,177,113,7.62,29.81,38.14,41.0,25.033570406377834
18222,43,236,0.54,5.0,10.86,4.6,8.400925160826024
9156,177,75,18.89,53.0,62.67,35.93333333333333,40.86709606762788
18150,75,75,0.85,5.5,8.5,5.15,7.455948116900451
7216,42,166,1.3,6.5,8.0,6.083333333333333,7.789146833576965
72392,36,225,1.28,15.45,18.5,12.0,14.344155902967923
47995,33,17,2.95,22.36,25.41,25.0,18.814297456544494
70755,39,7,16.65,34.01,37.06,41.0,26.5035965030891
27483,75,224,5.46,23.5,27.05,30.783333333333335,19.676880162071363
63853,9,173,5.13,25.36,28.41,13.0,21.009914244424593
33585,74,107,4.84,16.0,20.05,16.316666666666666,14.818873055288588
18693,41,74,1.17,6.5,9.12,6.75,8.141531527998318
72317,121,258,5.8,27.75,30.8,25.0,22.11862715229511
19841,71,149,3.29,13.5,24.8,16.1,15.809560382247195
47178,152,236,3.13,20.65,23.7,22.0,17.252489566927437
32782,24,74,2.12,11.0,14.16,13.116666666666667,11.399169799413928
18117,75,243,6.82,23.0,24.8,21.066666666666666,18.72712192764741
23778,75,100,3.71,16.0,19.55,20.366666666666667,14.630050608836884
36161,134,198,4.87,17.5,19.3,16.75,14.776177068156699
15707,7,231,8.58,29.0,32.55,29.066666666666666,23.64730907233116
38816,65,189,1.05,9.5,12.36,12.483333333333333,10.17304681860226
49993,155,71,3.55,17.94,20.99,18.0,15.342505012419851
46295,217,62,4.41,20.93,23.98,30.0,17.027692663954873
37544,166,166,0.23,3.0,3.8,1.0333333333333334,4.633532285508131
69793,198,43,18.15,31.01,40.18,43.0,25.99046002011182
66296,67,67,0.81,12.65,15.7,4.0,12.246992930007488
65445,67,26,1.4,12.84,15.89,7.0,12.348299328683753
60339,182,185,1.17,15.45,18.5,7.0,13.63325572614419
29126,75,41,1.5,8.0,11.0,7.866666666666666,9.092922319817355
76280,61,39,3.3,23.31,26.36,10.0,19.325622623139076
39963,95,95,0.83,5.0,7.3,4.533333333333333,6.790524435309687
36337,166,237,3.13,12.5,20.55,13.566666666666666,13.58315801897615
27740,74,146,5.8,20.0,23.55,18.616666666666667,17.31428592628977
33677,42,42,0.7,5.0,6.3,4.0,6.648162358784285
71078,215,215,1.96,18.95,22.0,6.0,15.816439091671096
55807,123,72,5.15,31.9,34.95,21.0,24.748690300576627
5814,152,75,3.32,13.0,16.56,15.0,12.267468328358458
33551,244,42,1.97,10.5,12.3,13.75,9.524105922677663
7199,74,75,1.9,8.5,9.3,8.966666666666667,8.657940010287803
61450,215,131,2.2,18.95,22.0,12.0,15.76592439603833
42162,205,48,16.24,48.18,57.35,43.0,37.34372168874853
49259,188,76,0.0,23.83,26.88,24.0,19.095166553952097
26714,75,24,1.24,7.0,7.8,8.916666666666666,7.628115315499929
42666,11,35,12.31,31.9,34.95,23.0,25.253309659408778
14101,243,116,1.87,9.0,11.76,10.966666666666667,8.924289759689252
39118,244,42,2.69,13.0,15.18,17.233333333333334,11.318259583584666
48304,116,209,11.62,41.11,44.16,33.0,30.969928178483656
3733,75,239,1.31,7.0,14.44,6.833333333333333,10.146646966851439
64576,188,122,14.48,58.13,61.18,44.0,41.86261449580935
66727,33,97,1.26,15.45,18.5,9.0,14.281295831000188
44176,51,242,3.54,18.96,22.01,17.0,16.610825623401524
65700,95,92,4.09,23.99,27.04,14.216666666666667,19.6483599599336
2690,41,75,2.62,10.5,13.56,10.6,10.95232697702655
39346,244,238,4.06,14.0,21.94,10.266666666666667,14.171683424476628
46025,77,35,1.96,23.31,26.36,14.0,19.24795130140579
73916,47,75,3.66,22.98,27.37,18.0,19.676518290268675
57198,72,25,5.23,21.64,24.69,26.0,18.15828950771749
57144,183,48,13.94,44.05,53.22,35.0,34.70916531956605
62536,181,188,3.45,21.64,24.69,21.0,17.74353433613753
22686,75,140,2.8,10.5,18.06,9.933333333333334,12.45067812012143
1861,244,42,2.27,9.0,10.3,7.583333333333333,8.349738523758912
67704,74,74,0.41,14.65,17.7,3.0,13.544211026893718
56000,3,185,1.45,18.59,21.64,8.0,16.55707004681962
12126,130,180,0.0,8.5,9.88,13.0,8.666340070731284
5757,75,166,1.75,10.5,13.56,14.0,10.847102948809702
44873,71,188,0.7,13.95,17.0,4.0,13.162799354005246
29594,42,116,1.84,8.5,9.3,8.883333333333333,8.833137455848
15036,75,42,2.11,10.5,15.1,13.75,11.326664719359492
39227,166,74,1.8,10.5,12.3,13.95,9.91029523500378
31988,166,238,1.24,6.5,14.37,5.933333333333334,9.541183371470574
6231,41,43,0.36,4.0,4.8,2.316666666666667,5.8105876315868645
72442,173,83,1.8,16.2,22.0,15.0,15.101001679659245
48801,88,166,9.81,38.48,41.53,29.0,29.33219190579569
53203,28,134,0.95,19.05,22.1,4.0,16.713757875633405
74726,123,25,6.54,28.83,31.88,26.0,22.68510647083302
57280,121,196,0.0,23.99,27.04,17.0,19.58860082180668
62422,189,181,1.39,19.15,22.2,7.0,16.05090404693023
23002,74,75,1.9,8.0,10.55,7.816666666666666,8.956149914214066
71854,21,29,1.8,17.69,20.74,11.0,15.781905542936347
66783,74,42,2.86,17.69,20.74,7.0,15.540384606214424
18466,24,41,0.89,5.5,7.56,4.75,7.337191826421216
29892,25,17,2.58,12.0,13.8,14.216666666666667,11.533792980419246
36271,242,213,1.95,16.0,16.3,9.85,12.742938309991777
59737,250,107,11.09,31.53,40.7,21.0,26.12908642735548
11083,95,135,2.3,9.0,10.8,7.8,9.286536783089755
19172,74,74,0.79,5.5,7.0,5.966666666666667,6.920313321753142
49441,89,215,12.77,48.11,51.16,52.0,35.74133506722443
75219,78,47,0.3,15.77,21.57,3.0,15.24120232248263
60657,151,228,14.03,42.58,45.63,30.0,31.791254617088015
69970,231,121,13.21,49.63,52.68,23.0,36.0244903887182
54929,28,130,2.55,31.57,34.62,19.0,25.011719261621295
31514,7,7,0.68,5.5,6.3,6.3,6.943341802841859
27402,147,168,0.89,6.0,6.8,6.15,6.713023879448004
138,89,46,27.38,76.0,79.55,52.833333333333336,54.309772213801416
19001,95,96,2.84,13.0,16.56,17.1,12.548250905060305
10709,166,237,5.05,18.5,23.05,18.533333333333335,16.301576467118238
35431,25,181,0.0,9.2,10.0,7.083333333333333,9.416285910307757
14540,75,263,1.1,8.5,14.55,11.083333333333334,10.65537656048583
45431,10,205,2.96,18.95,22.0,17.0,16.774829456563804
7133,166,238,1.49,6.0,8.5,3.95,7.277435561331852
44422,197,49,5.78,32.67,35.72,51.0,24.897215377872357
71591,49,25,1.74,19.15,22.2,12.0,16.615711215240964
30043,42,74,1.09,5.0,6.3,3.3666666666666667,6.667404279452067
27480,97,14,6.79,25.0,25.8,24.5,19.452027103148993
49254,82,121,5.46,25.36,28.41,25.0,20.635219381333563
24157,43,239,1.49,7.0,13.05,5.733333333333333,9.79703068224243
16405,75,74,1.36,6.0,9.36,4.766666666666667,7.916366557772244
7362,116,170,6.9,23.0,28.55,20.95,19.83968642710626
40779,78,198,17.76,42.06,51.23,33.0,33.97401091395548
51609,155,164,22.1,34.59,43.76,52.0,28.638929044794956
16254,75,74,1.3,6.5,8.3,5.333333333333333,7.68652369934511
5702,74,166,2.02,10.0,12.96,12.583333333333334,10.484339309917893
67454,71,91,1.03,15.45,18.5,6.0,14.098920311179707
38685,150,216,9.82,28.5,44.3,19.233333333333334,27.041927601896823
22071,43,163,2.84,11.5,18.06,12.416666666666666,12.918194482158917
11705,75,152,2.58,10.5,11.3,11.183333333333334,10.025475536946374
35728,43,263,0.88,12.0,15.55,19.066666666666666,12.226747292028854
44057,16,129,6.02,46.62,49.67,24.0,35.04524268871247
5340,74,229,4.28,18.0,22.55,22.383333333333333,16.39809124244473
25282,166,41,1.25,9.0,10.8,11.783333333333333,8.895998950675459
52531,240,174,0.54,17.59,20.64,3.0,14.772540158623304
25897,196,238,10.24,36.0,39.55,40.45,27.403159141037108
73601,71,61,3.24,21.37,24.42,27.0,18.005648392237006
36645,244,140,7.64,22.0,31.26,13.433333333333334,19.891459500745242
26200,130,130,1.74,8.0,8.8,8.266666666666667,8.096082657679164
64008,213,167,3.14,14.61,17.66,15.0,12.91969282201942
44089,39,72,1.93,23.83,26.88,12.0,19.79371369464259
5848,75,168,2.39,9.5,10.3,10.016666666666667,9.372128849763937
9648,130,197,2.43,11.5,16.3,13.883333333333333,11.896064193095066
49986,17,39,4.12,23.31,26.36,32.0,19.532614404613703
72370,128,127,4.28,21.01,24.06,20.0,17.538512766285574
46850,72,76,3.82,23.31,26.36,18.0,19.29612213928126
16707,75,263,1.2,7.5,13.55,8.383333333333333,9.99240712691077
10249,75,75,0.5,3.5,5.55,1.7333333333333334,5.788177152460717
13179,75,166,1.8,9.5,11.3,10.916666666666666,9.73075370502391
15945,43,263,1.08,9.0,16.31,12.2,11.59078283473803
56890,149,155,2.74,16.3,19.35,14.0,14.333979103814869
50561,242,174,4.02,20.8,23.85,17.0,16.8912491882543
14765,33,261,2.75,11.0,15.55,11.55,11.969438295789443
36964,43,74,1.32,8.5,9.3,10.316666666666666,8.80317803759256
53132,49,45,2.98,26.16,29.21,12.0,21.275146894734583
66124,205,142,22.98,53.6,62.77,48.0,40.99351656290109
47195,74,262,1.42,20.65,23.7,10.0,17.635076421035357
37339,74,41,1.23,8.0,13.8,9.916666666666666,10.105138839952598
31599,97,17,2.08,9.5,12.36,11.116666666666667,9.91906830869727
39407,24,75,1.58,9.5,10.3,12.233333333333333,9.556131619037009
49859,52,165,6.74,20.37,25.21,24.0,18.1386789186763
35133,74,41,0.72,5.0,7.3,3.8,6.8568446489615775
67103,188,89,1.89,13.95,17.0,11.0,12.552842842262013
36733,74,166,1.54,7.0,10.38,7.583333333333333,8.646560546397232
29358,41,41,0.86,5.5,7.3,4.383333333333334,7.163662070791227
9084,7,146,1.77,8.5,9.3,9.633333333333333,9.015833316206855
4319,43,238,1.15,7.5,11.05,8.883333333333333,9.22835163124578
43655,165,193,13.69,51.46,62.05,38.0,40.30459522358028
38229,74,41,1.61,8.5,9.8,9.316666666666666,8.817407707722356
25256,244,159,1.99,13.0,13.3,18.7,10.712148947406327
62860,218,197,5.05,24.86,27.91,17.0,19.70963721832115
64943,191,225,16.61,52.68,55.73,48.0,38.297251518968864
64219,49,61,1.53,16.73,19.78,9.0,15.032975627012359
22973,78,147,2.22,10.0,11.3,10.333333333333334,9.856784969777108
25149,166,166,0.84,6.0,6.8,5.866666666666666,6.6224372350715655
75606,62,68,6.99,35.83,49.1,30.0,31.31613210663585
31282,75,74,1.38,7.5,9.54,7.833333333333333,8.435850564213105
4989,134,134,0.61,4.5,6.3,3.8833333333333333,6.1191081931510025
47638,188,85,1.91,13.95,17.0,13.0,12.550437349000113
8276,65,61,3.0,16.5,19.0,22.533333333333335,14.607312525990096
22979,41,41,0.03,3.0,4.3,1.7166666666666666,5.3263297678896615
72828,79,29,17.98,39.98,49.15,39.0,32.48870104210587
71015,35,106,6.22,20.93,23.98,22.0,17.910351382778842
66736,234,198,7.02,28.09,37.26,40.0,23.978481963761425
60008,76,67,17.16,36.67,39.72,36.0,28.129109822752362
68674,131,173,6.91,25.36,28.41,18.0,20.435967558797167
71645,52,263,10.34,30.5,36.55,31.0,25.34886379814811
9981,95,135,2.32,9.5,10.8,10.133333333333333,9.438108545928749
11001,82,56,2.01,12.5,13.3,19.066666666666666,11.260754704916444
29225,244,142,5.94,20.0,28.26,19.4,18.206904947997504
33048,7,260,2.22,10.5,11.3,13.583333333333334,10.410324248554865
34371,97,72,3.91,18.5,19.3,25.716666666666665,15.17761736881752
25065,166,41,1.03,6.5,7.3,6.583333333333333,6.878751705223882
23605,82,102,2.72,13.0,18.8,16.733333333333334,13.419025910115115
38946,33,7,7.61,27.5,33.96,32.35,23.44293233020513
66190,51,208,4.34,18.96,22.01,15.0,16.59037661064031
55851,39,149,8.07,28.22,31.27,18.0,22.75042960773488
25144,244,239,5.67,20.5,28.86,21.733333333333334,18.632704439731747
39613,116,236,4.15,14.0,15.8,11.916666666666666,12.56331916871708
3804,75,263,1.1,7.0,13.85,8.233333333333333,9.948783276379523
35634,41,41,0.23,-3.5,-4.3,1.8333333333333333,0.26139678291883905
43165,205,117,12.87,46.56,51.9,33.0,34.93308644891784
27574,74,100,6.57,23.5,27.05,26.466666666666665,19.60701249378078
63697,181,67,4.83,25.95,29.0,26.0,20.528161982463565
13094,52,33,0.7,5.5,9.3,5.716666666666667,7.826753905153249
68559,95,10,4.63,26.81,32.61,14.0,22.458139462434772
25297,244,74,3.49,13.0,17.76,11.983333333333333,12.26584950660939
48642,116,152,1.83,17.69,20.74,10.0,15.408951491959794
73605,164,257,8.46,29.34,38.51,26.0,25.171977842720437
7864,244,240,6.3,21.5,25.1,17.7,17.58350367240617
12711,95,19,6.8,20.0,24.95,12.05,17.642872747043004
1666,130,265,13.8,39.5,48.36,28.266666666666666,31.960939377065863
66325,243,140,8.2,34.34,37.39,26.0,25.84268444539307
35523,75,234,5.76,22.0,25.55,26.516666666666666,18.68843900834446
20141,41,75,1.25,6.0,6.8,5.266666666666667,7.15576584158804
34190,41,74,1.52,8.0,9.8,8.166666666666666,8.840927015349589
7390,41,213,5.34,17.0,17.8,12.283333333333333,14.53139747478879
74125,254,3,1.67,20.8,23.85,10.0,16.73197302642527
20019,65,186,5.13,18.5,26.46,19.966666666666665,17.973058817647612
3103,42,41,0.37,4.0,5.76,2.4833333333333334,6.150112834296231
25459,244,238,4.56,15.5,24.06,11.716666666666667,15.389226924399168
51089,173,134,4.18,25.59,28.64,14.0,20.367421709504853
58137,39,61,4.61,23.31,26.36,28.0,19.442345007395566
48891,10,82,7.37,36.62,39.67,14.0,28.415509947436462
69978,63,223,12.39,34.01,37.06,19.0,26.520598594683364
50683,62,91,4.47,26.27,29.32,24.0,21.314572775466374
12707,42,41,0.96,5.0,5.8,4.166666666666667,6.467647350240138
42875,244,244,1.51,12.34,15.39,5.0,11.315226127573979
8193,82,226,2.3,11.0,12.8,12.35,10.728355764749015
28428,24,151,4.73,26.0,27.8,39.15,20.90063796149157
10715,247,75,3.16,16.0,16.8,21.383333333333333,12.816337437173166
59197,166,74,1.53,14.65,17.7,10.0,13.111399590781115
74945,244,241,5.15,23.69,26.74,15.0,18.83810754955074
54134,168,42,1.65,15.45,18.5,10.0,13.613122189642013
72955,170,155,14.69,33.12,42.29,36.0,27.588413203189027
34357,18,47,1.98,10.0,10.8,11.933333333333334,9.899003305187062
66337,135,28,0.95,11.95,15.0,7.0,11.439560171121508
66019,143,237,2.18,16.5,19.55,14.0,14.544112644936627
42370,19,22,24.58,70.26,73.31,34.0,50.63930478733481
69531,61,35,1.81,15.45,18.5,7.0,14.112285837216065
59174,210,22,6.28,17.69,20.74,15.0,14.888542800879812
52942,35,159,14.9,40.95,50.12,52.0,33.41696331638315
574,74,42,1.27,6.5,9.36,6.166666666666667,8.053399796116828
29545,75,74,0.85,4.5,5.83,2.2,6.191469291485098
48917,130,188,0.0,49.35,52.4,40.0,36.354345633287885
12362,74,75,0.85,6.0,6.8,6.533333333333333,7.000521213724074
1537,75,142,3.11,12.0,17.11,11.95,12.56476107507753
38233,74,244,2.53,10.5,14.16,11.333333333333334,11.11460542148055
17241,41,166,1.0,6.5,7.3,7.0,7.541974591022015
65497,189,181,1.37,19.15,22.2,8.0,16.05090412058214
76002,61,17,2.36,18.95,22.0,13.0,16.421851152148008
10672,41,41,0.3,3.5,5.3,1.8833333333333333,5.837726002413553
