,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
3127,244,41,4.71,15.5,17.18,14.416666666666666,12.79516075696157
37729,166,238,1.73,8.0,15.06,7.8,10.244176597181834
37142,7,223,1.11,6.5,7.3,7.216666666666667,7.736201943581113
16404,152,164,6.89,21.5,26.05,16.633333333333333,18.312439961407915
40544,254,254,0.83,13.88,16.93,5.0,12.295170268349061
63293,193,194,2.81,28.96,38.13,14.0,24.74575665400485
18515,74,47,4.87,15.5,16.3,10.466666666666667,13.281874592918424
66115,78,75,5.27,35.79,38.84,35.0,27.541142815952938
69425,181,25,2.11,18.95,22.0,14.0,15.862131636009208
44539,159,213,4.46,19.24,22.29,13.0,16.270936133122852
53244,160,82,2.58,15.89,18.94,24.0,13.966514768067652
40331,75,229,2.86,10.0,13.55,9.2,10.729814129572075
65653,169,242,4.31,27.27,30.32,16.0,21.56497329916766
30531,166,116,1.6,7.5,10.3,7.383333333333334,8.306471073814937
2638,75,242,9.86,27.5,30.8,18.916666666666668,22.249608260075597
48593,61,61,1.14,18.95,22.0,7.0,16.44831526062424
74581,91,210,2.25,18.95,22.0,9.0,16.396780234413832
11245,95,196,0.0,5.0,7.55,5.333333333333333,6.941220685099605
9189,43,238,1.18,6.5,12.06,5.8,9.288631494043187
11894,74,75,1.36,7.0,7.8,7.6,7.663488400915987
10573,43,75,1.51,9.0,9.8,10.466666666666667,9.135263225459711
71637,178,26,1.43,12.82,15.87,11.0,11.812848406592535
66924,81,43,13.95,29.73,45.02,28.0,27.894424478598154
12023,65,61,3.3,14.0,20.5,16.4,14.3891903272576
75096,26,123,4.2,25.43,28.48,25.0,20.94628249458431
32122,65,97,0.7,10.0,13.8,14.716666666666667,10.787443857932212
52282,74,167,3.24,24.32,27.37,16.0,20.01103747268248
31339,179,223,1.3,7.5,8.3,9.133333333333333,7.590008813592608
38469,148,63,0.0,37.2,38.0,22.716666666666665,27.32981530273986
5857,75,263,0.94,6.0,9.55,6.266666666666667,8.098391005577941
65096,97,35,5.82,16.73,19.78,42.0,14.791512090810413
3566,152,166,0.84,6.0,7.8,5.8,7.048124609606184
4577,41,142,2.47,10.0,16.26,10.583333333333334,11.81257503069343
50652,7,39,15.0,34.01,37.06,42.0,26.67338760985337
29275,74,236,2.05,8.0,11.55,6.85,9.412792893460786
55805,131,28,2.84,25.92,28.97,14.0,20.720048762674516
6457,106,188,0.0,14.2,15.0,13.933333333333334,12.35428210989774
63572,102,7,5.67,26.45,29.5,29.0,21.195211884296356
18879,74,42,0.67,6.0,6.8,6.8,6.980677164808775
58202,188,225,3.44,25.95,29.0,25.0,20.59025018476541
75490,69,165,19.56,70.09,73.14,38.0,50.37739091891382
39352,260,258,5.84,21.5,26.76,25.833333333333332,18.11636906911797
4088,129,260,1.01,6.5,10.14,6.633333333333334,8.206416426853142
7962,97,188,3.65,16.5,18.3,22.533333333333335,14.281262756684827
3929,41,143,5.5,18.5,25.05,16.066666666666666,17.552751646290865
23521,97,66,1.3,8.5,9.8,10.466666666666667,8.724240893987913
16271,74,75,0.82,6.0,9.36,7.15,7.921674328576281
73091,257,14,6.29,19.73,22.78,20.0,16.01508073497456
4680,193,193,0.0,3.0,3.8,1.35,4.522750177770805
41274,74,236,2.31,18.95,22.0,11.0,16.49239050502416
54439,189,25,1.9,19.15,22.2,13.0,15.957090804016822
36707,74,236,2.26,9.0,15.05,7.416666666666667,10.97532466626562
12979,41,42,1.93,9.5,12.88,11.533333333333333,10.384659866466132
37265,46,39,30.58,83.0,89.92,46.56666666666667,60.36123634845498
75880,197,130,1.45,15.45,18.5,7.0,13.529613765879121
20593,244,24,3.09,11.0,13.8,9.2,10.20458733491742
58680,28,129,9.52,27.7,30.75,17.0,22.44540195625831
24568,74,236,2.0,12.0,20.2,17.233333333333334,13.737857413204502
3567,74,151,2.49,12.0,17.94,14.916666666666666,12.873535055346178
5566,75,234,4.88,16.0,19.55,15.083333333333334,14.710627857135181
68239,235,208,6.21,26.21,29.26,18.0,20.531280824512947
67230,7,223,1.13,15.45,18.5,9.0,14.479382137254065
52143,157,192,4.73,18.08,23.53,15.0,16.36225236630471
19160,97,181,1.27,8.0,11.0,10.383333333333333,9.073615452562699
37539,166,42,1.1,7.0,7.8,7.95,7.210837335002472
5810,82,160,3.3,14.0,15.8,17.2,12.677569854535362
55189,166,41,1.3,7.0,7.3,10.0,7.030322547414044
49820,91,39,2.53,23.79,26.84,12.0,19.502717791087022
51917,131,218,3.37,21.57,24.62,17.0,17.950388808251205
11619,166,238,1.75,9.5,13.05,11.033333333333333,9.975642994411828
74012,177,188,2.88,21.37,24.42,18.0,17.583352496781927
2144,82,129,1.27,7.5,8.3,8.8,7.98981101134175
55458,97,61,2.17,18.95,22.0,11.0,16.278952084748774
61487,177,246,10.35,30.39,33.44,44.0,23.598184541285846
38857,75,75,0.68,6.0,6.8,6.333333333333333,6.995817412465215
68967,165,86,15.06,36.97,42.31,45.0,28.74474013768326
15361,95,87,0.0,30.2,31.0,24.766666666666666,22.952799010094502
50838,92,9,2.17,19.34,22.39,7.0,16.529761701792218
49351,25,25,0.29,18.95,22.0,2.0,16.5960289971426
18025,75,142,2.0,9.5,15.05,10.083333333333334,11.065665672096362
21860,41,48,3.97,15.0,21.91,16.533333333333335,15.304773977560131
48581,235,69,2.5,18.52,21.57,11.0,15.349474043217867
33097,75,75,0.4,5.5,6.3,6.316666666666666,6.6643339109341415
65110,167,212,2.2,19.24,22.29,14.0,16.232707682485273
52441,18,244,8.86,20.38,26.23,20.0,18.71618201398399
69701,159,234,9.08,26.42,35.59,43.0,23.24579686253285
29610,7,7,1.15,7.5,8.3,9.633333333333333,8.269278202653112
25072,75,142,2.4,14.0,17.55,20.216666666666665,13.329374208310647
53249,228,227,1.06,12.7,15.75,7.0,11.618944451714
40814,42,116,1.88,8.13,8.52,10.0,8.440310343520615
23875,47,75,8.04,33.0,34.8,46.96666666666667,25.38750442881838
57154,254,51,1.5,22.49,25.54,10.0,17.881256408169648
26762,74,263,1.2,6.5,11.05,6.566666666666666,8.794404400394713
53941,55,66,12.83,36.16,39.21,33.0,27.889203163478022
2908,41,74,1.38,8.0,8.8,9.083333333333334,8.481102138579203
3697,244,113,9.2,29.0,41.9,25.266666666666666,25.825765058832538
68265,130,215,1.15,21.57,24.62,6.0,17.95329734620539
66884,213,250,1.97,22.79,25.84,8.0,18.392696541844348
45985,89,188,1.8,19.93,22.98,14.0,17.0426706223361
11049,74,75,1.25,7.0,7.8,7.1,7.663488806001472
72625,3,233,13.62,41.04,50.21,46.0,33.671677182370495
66461,254,185,3.58,20.8,23.85,15.0,16.841412584922963
29908,41,41,0.4,4.0,5.8,3.066666666666667,6.169210166811784
35566,152,24,1.7,8.0,9.8,7.05,8.28866717705045
25382,41,41,0.75,5.0,6.8,4.15,6.832177943218948
492,74,212,8.51,15.0,15.3,27.233333333333334,12.869687518359106
72255,225,25,2.44,19.15,22.2,18.0,15.787729432613062
55763,51,140,13.26,40.32,49.49,33.0,32.91260226474221
35797,41,42,0.83,5.5,6.3,4.516666666666667,6.804438143837856
51893,26,177,6.48,24.63,27.68,37.0,20.448372010749488
12419,52,170,7.0,21.5,31.31,17.833333333333332,20.679171979419188
71324,116,41,1.38,17.69,20.74,7.0,15.342202754950335
